propertycode,Maximum,Minimum,Normalized Maximum
31,374.73,219.52,0.020082936946229323
56,149.51,73.46,0.007620260785455155
97,468.83,259.76,0.025290013701086123
138,321.84,169.66,0.017156238863717352
147,226.18,122.9,0.011862838625995763
150,115.08,98.2,0.00571505725017652
162,371.71,123.16,0.01991582353709364
287,189.88,75.1,0.009854157582411257
333,46.8,46.8,0.0019367448078638479
378,951.9,235.16,0.05202096553922295
383,180.56,78.4,0.009338430107860084
441,209.97,70.33,0.010965849102125105
515,603.14,124.76,0.03272213356234879
541,252.93,81.31,0.013343065014863131
560,333.77,245.0,0.01781639216536923
597,194.92,175.43,0.01013304883474365
607,129.06,86.33,0.00648864846200328
638,197.45,59.14,0.010273047816569238
652,1004.63,68.28,0.05493880993118469
654,155.22,88.7,0.007936226866966658
658,104.54,64.41,0.005131820385179808
684,383.14,110.87,0.020548309055776034
715,207.96,60.28,0.010854624614587782
723,165.78,51.53,0.00852057044328215
729,118.4,87.19,0.005898771329093892
793,142.55,126.71,0.007235125246519945
822,155.72,62.93,0.007963894649936142
834,656.86,220.67,0.03569476016459011
858,141.65,41.86,0.007185323237174875
861,110.61,82.73,0.005467707270429337
920,110.87,84.47,0.005482094517573469
937,148.43,93.81,0.007560498374241072
944,441.74,112.42,0.023790973219799505
989,153.09,65.29,0.007818362111516658
997,181.48,83.77,0.009389338828523932
1072,91.87,49.63,0.004430718764733095
1130,322.36,169.63,0.017185013358005617
1145,159.44,58.39,0.0081697429552291
1179,311.44,192.13,0.016580748977952094
1261,144.67,54.57,0.007352436646310555
1291,148.69,56.96,0.007574885621385203
1324,270.25,161.85,0.014301477016926042
1328,195.55,80.77,0.0101679102412852
1353,193.69,94.43,0.010064986088638721
1359,319.09,117.81,0.017004066057385192
1429,338.56,152.59,0.018081449526216882
1454,210.28,82.57,0.010983003127566185
1456,657.84,116.36,0.035748989019210295
1458,224.41,136.55,0.01176489467428379
1483,261.66,126.78,0.013826144505510316
1504,310.43,112.52,0.01652486005635374
1506,162.34,63.29,0.008330216096452105
1509,231.07,107.21,0.01213342954343731
1520,249.43,159.74,0.013149390534076747
1534,75.35,75.35,0.003516575215421358
1549,143.61,79.88,0.0072937809464152506
1605,347.4,209.95,0.01857061592911735
1706,413.24,186.49,0.022213909590538945
1786,2556.38,113.95,0.14080577437697686
1795,85.92,85.92,0.00410147214739624
1803,137.07,121.37,0.0069318863451744055
1830,125.58,60.45,0.0062960806925356745
1854,333.53,115.67,0.017803111629543875
1908,124.58,64.66,0.006240745126596708
1928,149.94,65.21,0.007644055078808912
1964,407.53,105.19,0.02189794350902744
1999,176.82,53.54,0.009131475091248347
2016,229.81,151.87,0.012063706730354213
2057,126.71,42.76,0.006358609882046707
2062,253.16,81.11,0.013355792195029094
2076,316.51,126.75,0.016861300297262658
2095,246.14,95.52,0.012967336522137544
2145,346.6,85.39,0.018526347476366178
2165,142.06,63.98,0.007208010819209851
2202,342.75,93.93,0.018313305547501154
2243,169.79,78.12,0.008742466062697407
2248,246.35,90.42,0.012978956990984728
2301,461.23,57.44,0.024869463399949974
2352,86.76,58.07,0.004147954022784972
2385,189.56,67.58,0.009836450201310788
2398,148.88,47.31,0.007585399378913607
2409,470.31,343.6,0.025371910338675797
2464,277.58,87.35,0.01470708671525867
2474,6436.69,43.35,0.35552492424561016
2526,702.24,244.2,0.03820588814690044
2579,211.82,89.35,0.011068219899112195
2644,117.09,69.32,0.005826281737713844
2685,686.35,92.08,0.03732660600413025
2698,246.14,76.35,0.012967336522137544
2718,575.5,74.0,0.031192658519795746
2756,135.88,67.58,0.006866037021707035
2766,366.95,100.53,0.019652426243224157
2883,162.61,78.14,0.008345156699255625
2898,155.95,92.02,0.007976621830102103
2962,316.52,168.87,0.016861853652922046
2993,120.64,90.23,0.006022722996797177
3002,137.27,76.03,0.006942953458362201
3039,708.37,225.14,0.038545095166106304
3048,129.59,90.72,0.006517976311950933
3050,163.83,85.81,0.008412666089701166
3061,452.3,104.79,0.024375316796114998
3125,352.8,40.19,0.018869427985187773
3133,153.55,86.92,0.007843816471848583
3144,347.3,254.54,0.018565082372523457
3147,221.52,62.38,0.011604974888720176
3156,93.98,38.8,0.004547476808864315
3199,1050.67,112.99,0.057486459387014736
3268,261.87,77.93,0.013837764974357498
3279,135.17,129.34,0.006826748769890368
3321,114.18,68.97,0.00566525524083145
3330,120.38,45.83,0.006008335749653045
3473,495.22,228.08,0.026750319286215466
3547,195.54,103.58,0.01016735688562581
3603,94.88,65.6,0.004597278818209385
3627,225.46,76.11,0.011822997018519707
3654,182.22,65.51,0.009430287147318769
3689,142.66,45.21,0.007241212158773231
3690,198.42,84.02,0.010326723315530036
3698,95.67,77.12,0.0046409939153011694
3780,214.08,68.8,0.011193278278134261
3817,105.48,46.27,0.005183835817162436
3836,126.19,66.21,0.006329835387758444
3924,606.82,57.72,0.032925768445004194
4029,129.48,85.66,0.0065118893996976455
4035,287.32,115.71,0.015246055127504208
4050,225.05,121.17,0.01180030943648473
4068,248.15,207.96,0.01307856100967487
4099,697.52,172.35,0.037944704275668505
4153,135.94,74.76,0.006869357155663373
4192,300.94,138.33,0.01599972553559294
4247,296.82,123.23,0.015771743003924397
4282,295.66,190.07,0.015707553747435196
4285,163.07,56.26,0.008370611059587548
4289,112.58,72.3,0.005576718335329103
4298,191.19,142.55,0.009926647173791305
4345,107.19,78.57,0.00527845963491807
4350,302.82,190.61,0.0161037563995582
4367,118.78,83.4,0.0059197988441506985
4394,570.2,110.87,0.030899380020319223
4429,154.17,46.57,0.007878124522730743
4432,975.26,99.46,0.053313604359557225
4486,80.37,70.33,0.003794359756434973
4533,253.17,100.08,0.013356345550688483
4556,128.98,59.12,0.006484221616728162
4606,420.94,119.23,0.022639993448268992
4623,91.33,65.99,0.004400837559126052
4679,213.23,131.32,0.011146243047086137
4731,105.58,96.46,0.005189369373756333
4770,109.5,52.24,0.005406284792237084
4837,155.72,47.91,0.007963894649936142
4900,195.64,73.6,0.010172890442219707
4926,535.24,202.62,0.02896484863509293
5009,211.18,49.87,0.011032805136911256
5036,182.34,109.4,0.009436927415231446
5081,174.23,137.27,0.008988155975466422
5135,373.94,192.07,0.020039221849137537
5182,105.59,33.26,0.005189922729415723
5186,255.18,113.52,0.013467570038225808
5211,255.18,174.75,0.013467570038225808
5334,285.1,190.07,0.015123210171119703
5344,2602.85,551.99,0.14337721812616064
5364,109.82,74.97,0.005423992173337553
5485,144.67,102.48,0.007352436646310555
5511,82.38,30.85,0.0039055842439722965
5525,200.93,104.48,0.010465615586036843
5532,348.45,184.78,0.018628718273353266
5553,203.24,163.96,0.010593440743355857
5623,355.67,176.34,0.01902824105943261
5626,253.42,107.18,0.013370179442173225
5633,255.55,95.7,0.013488044197623226
5663,196.84,73.61,0.010239293121346468
5729,105.48,44.25,0.005183835817162436
5810,617.42,253.8,0.03351232544395724
5820,405.47,147.03,0.021783952243193173
5822,214.2,122.68,0.011199918546046937
5828,185.85,80.37,0.00963115525167722
5841,190.88,81.78,0.009909493148350225
5876,210.13,70.33,0.01097470279267534
5912,142.55,76.24,0.007235125246519945
6058,394.51,80.98,0.02117747444050209
6081,1785.47,136.2,0.09814703323896774
6090,138.33,74.97,0.007001609158257506
6166,148.88,88.8,0.007585399378913607
6177,1243.94,56.58,0.0681811642160389
6194,575.96,305.59,0.03121811288012767
6196,273.48,164.35,0.014480210894908906
6248,120.38,71.81,0.006008335749653045
6255,442.04,122.89,0.023807573889581195
6287,312.98,98.2,0.016665965749498107
6288,142.54,61.75,0.007234571890860555
6447,147.68,69.32,0.0075189966997868465
6508,83.09,47.93,0.003944872495788963
6538,129.98,61.52,0.006539557182667129
6551,145.39,145.39,0.007392278253786611
6596,76.86,36.62,0.0036001319199891984
6670,134.62,58.03,0.006796314208623937
6692,130.6,75.01,0.006573865233549289
6711,208.19,88.81,0.010867351794753745
6723,168.78,91.87,0.008686577141099052
6759,356.82,99.25,0.019091876960262422
6767,222.64,92.73,0.011666950722571817
6825,236.09,104.48,0.012411214084450926
7046,70.97,39.7,0.003274205436608682
7063,171.32,75.18,0.008827129478584028
7117,198.66,88.7,0.010340003851355388
7173,247.36,112.52,0.013034845912583085
7179,86.33,36.21,0.0041241597294312165
7181,453.09,78.76,0.02441903189320678
7182,153.71,58.27,0.007852670162398817
7207,184.63,69.09,0.009563645861231679
7225,121.73,51.81,0.006083038763670652
7251,112.58,56.8,0.005576718335329103
7277,143.15,110.33,0.007268326586083325
7298,75.35,52.49,0.003516575215421358
7327,294.35,89.41,0.01563506415605515
7332,253.72,71.8,0.013386780111954915
7349,230.94,70.87,0.012126235919865246
7359,506.33,329.52,0.027365097423797387
7386,262.36,65.01,0.013864879401667592
7411,65.83,54.19,0.0029897806276823913
7418,147.78,89.75,0.007524530256380743
7453,151.7,62.38,0.0077414456748614935
7488,495.23,163.67,0.026750872641874857
7502,140.62,68.94,0.007128327604257739
7556,136.42,70.17,0.006895918227314077
7638,119.55,41.99,0.005962407229923703
7645,164.66,142.56,0.008458594609430508
7673,153.67,141.67,0.007850456739761258
7740,182.84,87.91,0.009464595198200929
7763,307.42,176.32,0.016358300002877448
7856,111.93,54.64,0.005540750217468774
7943,72.02,33.86,0.0033323077808445974
7950,95.53,56.19,0.004633246936069714
7975,1055.92,881.48,0.05777697110819431
7991,340.59,88.86,0.018193780725072984
8029,264.08,90.23,0.013960056575082614
8042,214.36,121.64,0.011208772236597171
8074,228.83,80.98,0.012009477875734026
8137,365.93,105.91,0.019595983965966412
8252,263.51,163.55,0.013928515302497403
8306,170.9,81.66,0.008803888540889662
8385,72.86,66.3,0.00337878965623333
8394,231.0,74.97,0.012129556053821584
8410,219.99,190.03,0.011520311472833557
8414,123.54,41.18,0.006183196138020182
8588,152.99,93.27,0.007812828554922761
8599,506.33,171.79,0.027365097423797387
8634,791.94,182.68,0.04316948841162578
8636,180.69,105.22,0.00934562373143215
8644,189.41,68.41,0.009828149866419942
8702,386.78,125.58,0.020749730515793874
8729,685.29,277.71,0.03726795030423494
8753,222.8,130.93,0.011675804413122054
8937,473.94,187.58,0.025572778443034246
8988,67.31,41.05,0.003071677265272063
9047,639.35,236.79,0.034725834404998795
9061,148.91,71.24,0.007587059445891776
9199,89.44,38.68,0.004296253339501404
9271,340.04,175.81,0.018163346163806555
9289,289.32,128.83,0.015356726259382144
9347,345.47,120.18,0.018463818286855147
9387,205.9,93.98,0.01074063334875351
9410,137.42,66.52,0.006951253793253044
9425,127.39,40.13,0.006396238066885205
9427,239.17,125.66,0.012581647627542944
9451,232.3,74.97,0.01220149228954224
11019,193.47,66.69,0.010052812264132148
11034,247.09,166.31,0.013019905309779563
11044,564.62,108.97,0.030590607562379784
11045,778.24,237.58,0.04241139115826193
11054,399.14,266.75,0.021433678110799506
11058,486.57,238.11,0.026271666640843398
11062,516.35,176.95,0.02791955979450584
11079,322.88,89.86,0.01721378785229388
11093,266.23,165.76,0.014079028041851394
11104,412.9,212.98,0.022195095498119693
11117,179.59,116.23,0.009284754608899286
11154,164.22,106.95,0.008434246960417361
11203,244.58,230.91,0.012881013039272757
11223,938.34,56.46,0.051270615265090566
11250,197.91,47.15,0.010298502176901163
11281,157.22,55.25,0.008046897998844593
11283,576.66,90.42,0.03125684777628494
11295,253.17,157.97,0.013356345550688483
11314,359.65,147.64,0.019248476611869698
11324,182.44,89.66,0.009442460971825342
11348,308.84,102.6,0.01643687650651078
11369,196.91,84.0,0.010243166610962195
11389,228.04,108.44,0.01196576277864224
11423,277.27,57.33,0.01468993268981759
11435,160.74,90.42,0.008241679190949756
11449,261.79,147.32,0.01383333812908238
11511,124.21,78.17,0.006220270967199289
11512,7293.06,65.11,0.40291264284876344
11522,192.89,60.28,0.010020717635887548
11538,180.56,71.27,0.009338430107860084
11544,151.0,70.91,0.007702710778704217
11546,369.26,67.32,0.01978025140054317
11552,165.78,109.82,0.00852057044328215
11560,371.42,121.35,0.01989977622297134
11561,176.13,60.82,0.00909329355075046
11567,268.21,152.05,0.014188592462410547
11570,122.49,71.8,0.006125093793784266
11571,303.23,83.47,0.016126443981593176
11574,239.7,80.24,0.012610975477490596
11582,209.54,59.87,0.01094205480877135
11591,236.53,135.16,0.012435561733464072
11600,482.13,291.7,0.026025976728074385
11621,269.26,80.77,0.014246694806646464
42465,127.43,62.08,0.006398451489522764
42468,121.43,60.87,0.006066438093888961
42475,241.04,105.41,0.012685125135848812
42486,138.63,68.71,0.007018209828039195
42507,114.73,53.05,0.005695689802097882
42508,289.32,73.91,0.015356726259382144
42536,104.15,59.82,0.0051102395144636105
42539,178.19,102.4,0.009207284816584732
42540,115.41,54.75,0.005733317986936379
42547,129.31,44.35,0.006502482353488022
42559,342.06,146.03,0.018275124007003266
42597,212.75,106.48,0.011119681975435435
42619,515.49,130.44,0.02787197120779833
42627,209.97,91.42,0.010965849102125105
42631,205.8,101.61,0.010735099792159614
42644,150.52,62.75,0.007676149707053513
42667,1428.05,45.21,0.07836899526106213
42670,261.72,155.0,0.013829464639466653
42707,517.38,209.58,0.027976555427422976
42716,110.51,48.02,0.005462173713835441
42735,101.17,36.27,0.004945339527965488
42826,230.31,137.65,0.012091374513323696
42917,159.74,82.48,0.00818634362501079
42956,124.73,54.32,0.006249045461487553
42980,969.59,99.49,0.05299985170068328
42988,600.77,143.96,0.03259098827107344
43109,199.92,152.76,0.010409726664438486
43119,265.82,110.58,0.014056340459816416
43128,77.16,40.02,0.0036167325897708885
43131,72.33,66.31,0.0033494618062856773
43195,227.05,171.79,0.011910980568362664
43198,305.16,124.59,0.016233241623855383
43252,558.48,141.6,0.030250847187514526
43257,425.03,38.07,0.022866315912959366
43304,250.98,85.53,0.013235160661282145
43311,90.57,45.21,0.004358782529012437
43340,298.15,93.9,0.01584533930662322
43352,303.93,110.35,0.016165178877750454
43358,104.54,75.08,0.005131820385179808
43369,155.22,89.75,0.007936226866966658
44627,60.28,51.23,0.002682668236721124
44683,114.53,58.27,0.005684622688910088
44685,273.56,94.29,0.014484637740184022
44701,196.91,83.38,0.010243166610962195
44706,119.55,40.18,0.005962407229923703
